CAMIS,DBA,BORO,CUISINECODE,SCORE,CURRENTGRADE
41568723,BIRDBATH,1,03,6,A
41568894,UPRIGHT COFFEE,3,14,13,A
41569081,VIDAELVA,2,55,9,A
41494675,AMADEUS,4,50,12,A
41494859,SUBWAY,1,69,13,A
41494882,CROWN FRIED CHICKEN,1,18,6,A
41515650,NYU-WEINSTEIN DINING HALL,1,03,2,A
41519373,BUNGALO,4,04,12,A
41519523,CONEY ISLAND GYRO,3,54,2,A
41519587,BLIND BARBER,1,03,52,Z
41523524,ROCKAWAY CROWN RESTAURANT,4,11,44,Z
41523593,EDI & THE WOLF,1,37,27,B
41505331,HOT SHOTZ SPORTS BAR I,5,03,10,A
41505453,THE NEW STAR DELI,3,27,19,B
41515859,CUSTOM BURGERS PAT LA FRIEDA,4,39,12,A
41515868,BAR BRACE,4,48,11,A
41519688,TOASTIES,1,70,21,B
41519699,GULF CAFE,3,56,5,A
41519872,SUBWAY,1,69,11,A
41569188,EMPIRE CHINESE RESTAURANT ZHENG,2,20,12,A
41495141,EL CERITO RESTAURANT,2,55,15,B
41495273,LUCKY NO.1 CHINESE RESTAURANT,4,20,21,Z
41505508,PEELS RESTAURANT,1,03,18,B
41505645,GOOD CHINESE RESTAURANT,3,20,8,A
41505687,CHINA KING RESTAURANT,2,20,13,A
41505824,NEW DRAGON,4,20,10,A
41505961,CARIBBEAN CABANA RESTAURANT & LOUNGE,4,17,11,A
41523675,NO PORK HALAL KITCHEN CHINESE RESTAURANT,3,20,13,A
41566907,LAS PANTERAS NEGRAS RESTAURANT,1,55,28,C
41516864,MISO,3,49,12,A
41517331,FIVE GUYS BURGERS AND FRIES,1,39,3,A
41517779,HAPPY KITCHEN,4,49,7,A
41520503,OLD SCHOOL BROOKLYN,3,48,10,A
41520588,V'NOTE,1,84,9,A
41495887,REVIVE (NORTH CONCOURSE) GATE 25,4,03,2,A
41569301,KING SUNSHINE JERK CENTER,2,17,19,B
41506337,POPEYES CHICKEN & BISCUITS,4,18,12,A
41523996,OLD HONG KONG,2,20,12,A
41524118,MI CASA RESTAURANT,5,53,8,A
41524123,COLE'S GREENWICH VILLAGE,1,35,11,A
41567170,BUSKERS,1,03,12,A
41518177,AU BON PAIN,1,03,2,A
41518776,XING LONG CHINESE RESTAURANT,2,20,16,B
41496250,CHINA PEKING HOUSE,2,20,19,Z
41520879,49HX SEAFOOD RESTAURANT,1,20,13,A
41521007,PRIME TAVERN/DELTA TERMINAL,4,03,8,A
41521059,WORLD MARKET,4,03,7,A
41524468,STARBUCKS COFFEE,1,14,11,A
41524510,EL NUEVO BONGAR DINER COFFEE SHOP,3,77,17,B
41524567,MITHAAS,3,59,12,A
41506401,MELBA'S 125,1,73,8,A
41506479,GREGORYS COFFEE,1,14,11,A
41506725,K & K SUPER BUFFET,4,20,12,A
41569569,NONA'S PIZZA,2,48,11,A
41518991,XIANG GARDEN,3,20,7,A
41519339,GAZALA PLACE,1,54,12,A
41519403,BROOKLYN WINERY,3,03,13,A
41521159,CITY SANDWICH,1,70,11,A
41521260,FIVE GUYS BURGERS & FRIES,4,39,2,A
41521360,PARIS BAGUETTE,1,08,7,A
41496506,WHITMAN'S,1,03,12,A
41496655,TERAKAWA RAMEN,1,49,12,A
41496664,CLINTON PARK CAFE,3,14,12,A
41524723,DUNKIN DONUTS,4,29,4,A
41524734,UMI JAPANESE RESTAURANT  SUSHI BAR & TERIYAKI GRILL,4,49,21,B
41524736,DUNKIN DONUTS,4,03,13,A
41524804,MASAKARI JAPANESE FUSION,3,49,12,A
41525010,PARDES RESTAURANT,3,50,9,A
41507051,SUBMARINA,1,69,9,A
41507194,"BISOUS, CIAO.",1,08,7,A
41521803,HUNAN GARDEN,3,20,20,Z
41521807,SARGE'S,1,03,10,A
41519582,CHINA KING,5,20,9,A
41569947,EASTERN RESTAURANT,4,20,4,A
41569979,SHAKE SHACK,1,03,5,A
41570163,NEW CRISPY BAMBOO,1,20,9,A
41497107,MYUNG SAN RESTAURANT,4,52,6,A
41497254,D NAPOLI PIZZA,1,62,11,A
41525152,DUNKIN' DONUTS/BASKIN ROBBINS,4,29,27,Z
41525379,BAR ITALIA,1,48,12,A
41507305,ROUGE ET BLANC,1,35,9,A
41507327,HAWKERS,1,05,23,B
