Team,Top;1,Top;2,Top;3,Top;4,Top;5,TOTAL,,
Juan;Diego;CM,67.2336,,,,,67.2336,,;;;
Juan;Diego;FM,67.2336,,,,,67.2336,,;;;
La;Costa;Canyon;AG,67.2336,,,,,67.2336,,;;
Lowell;LV,67.2336,,,,,67.2336,,;;;;
Shawnee;Mission;Northwest;BC,66.11304,,,,,66.11304,,;;
Washburn;Rural;OP,66.11304,,,,,66.11304,,;;;
Leland;LV,65.3072,,,,,65.3072,,;;;;
Polytechnic;AA,64.99248,,,,,64.99248,,;;;;
Appleton;East;BM,64.35216,,,,,64.35216,,;;;
GBN;CS,64.35216,,,,,64.35216,,;;;;
Loyola;DM,63.87192,,,,,63.87192,,;;;;
Ashland;BK,62.9748,,,,,62.9748,,;;;;
Sam;Barlow;FV,62.9748,,,,,62.9748,,;;;
Bronx;Science;GD,60.51024,,,,,60.51024,,;;;
Appleton;East;BS,58.98948,,,,,58.98948,,;;;
GBS;LV,58.98948,,,,,58.98948,,;;;;
Maine;East;GT,58.98948,,,,,58.98948,,;;;
Maine;East;LP,58.98948,,,,,58.98948,,;;;
Rufus;King;EQ,58.98948,,,,,58.98948,,;;;
Ingraham;DS,57.6288,,,,,57.6288,,;;;;
Blue;Valley;Southwest;LS,56.66832,,,,,56.66832,,;;
Omaha;Westside;PK,56.66832,,,,,56.66832,,;;;
Bronx;Science;GM,56.21476,,,,,56.21476,,;;;
Chaminade;CL,55.70784,,,,,55.70784,,;;;;
Green;Valley;JS,55.70784,,,,,55.70784,,;;;
LNU;SS,55.70784,,,,,55.70784,,;;;;
Loyola;AC,55.70784,,,,,55.70784,,;;;;
San;Dieguito;ZS,55.70784,,,,,55.70784,,;;;
Dunwoody;HW,54.6448,,,,,54.6448,,;;;;
Kapaun;MS,51.94596,,,,,51.94596,,;;;;
Millard;West;MS,51.94596,,,,,51.94596,,;;;
Moore;HN,51.94596,,,,,51.94596,,;;;;
Olathe;North;MP,51.94596,,,,,51.94596,,;;;
Washburn;Rural;KY,51.94596,,,,,51.94596,,;;;
Washburn;Rural;MN,51.94596,,,,,51.94596,,;;;
Bingham;NS,50.4252,,,,,50.4252,,;;;;
Juan;Diego;CH,50.4252,,,,,50.4252,,;;;
Bronx;Science;LS,48.18408,,,,,48.18408,,;;;
Centennial;KH,48.18408,,,,,48.18408,,;;;;
Westwood;NW,48,,,,,48,,;;;;
Damien;CS,44.8224,,,,,44.8224,,;;;;
LNU;LP,44.8224,,,,,44.8224,,;;;;
San;Diegutio;BZ,44.8224,,,,,44.8224,,;;;
San;Diegutio;DG,44.8224,,,,,44.8224,,;;;
St;Vincent;de;Paul;DL,44.8224,,,,,44.8224,,;
Torrey;Pines;HN,44.8224,,,,,44.8224,,;;;
University;SS,44.8224,,,,,44.8224,,;;;;
Gonzaga;Prep;PS,43.2216,,,,,43.2216,,;;;
Juan;Diego;MZ,43.2216,,,,,43.2216,,;;;
Puyallup;MT,43.2216,,,,,43.2216,,;;;;
Rowland;Hall;St;Marks;BP,43.2216,,,,,43.2216,,;
Timberland;DI,43.2216,,,,,43.2216,,;;;;
Friendswood;AB,42,,,,,42,,;;;;
Johns;Creek;DF,38.2858,,,,,38.2858,,;;;
Pace;LS,38.2858,,,,,38.2858,,;;;;
Law;Magnet;GO,36,,,,,36,,;;;
Westwood;BM,36,,,,,36,,;;;;
Alpharetta;HT,32.8164,,,,,32.8164,,;;;;
Westminster;LW,32.8164,,,,,32.8164,,;;;;
Wheeler;SZ,32.8164,,,,,32.8164,,;;;;
Johns;Creek;AT,24.6,,,,,24.6,,;;;
