Tm,BatAge,R/G(scored),Yr
TEX,29.8,5.49,2001
TOR,28.2,4.73,2001
ANA,27.7,5.33,2000
ARI,30.8,4.89,2000
ATL,30.8,5.00,2000
BAL,32.0,4.90,2000
BOS,29.4,4.89,2000
CHC,30.7,4.72,2000
CHW,27.5,6.04,2000
CIN,29.2,5.06,2000
CLE,30.1,5.86,2000
COL,29.2,5.98,2000
DET,29.0,5.08,2000
FLA,26.2,4.54,2000
HOU,29.1,5.79,2000
KCR,27.5,5.43,2000
LAD,29.6,4.93,2000
MIL,28.9,4.54,2000
MIN,26.5,4.62,2000
MON,26.2,4.56,2000
NYM,30.4,4.98,2000
NYY,31.3,5.41,2000
OAK,27.5,5.88,2000
PHI,28.6,4.37,2000
PIT,28.3,4.90,2000
SDP,28.6,4.64,2000
SEA,31.2,5.60,2000
SFG,29.9,5.71,2000
STL,29.6,5.48,2000
TBD,30.1,4.55,2000
TEX,29.4,5.23,2000
TOR,28.2,5.31,2000
ANA,28.8,4.39,1999
ARI,30.0,5.60,1999
ATL,29.6,5.19,1999
BAL,32.4,5.25,1999
BOS,28.9,5.16,1999
CHC,31.2,4.61,1999
CHW,25.8,4.80,1999
CIN,28.3,5.31,1999
CLE,29.1,6.23,1999
COL,29.7,5.59,1999
DET,27.5,4.64,1999
FLA,25.2,4.27,1999
HOU,29.8,5.08,1999
KCR,27.0,5.32,1999
LAD,29.2,4.90,1999
MIL,28.1,5.06,1999
MIN,26.8,4.26,1999
MON,25.9,4.43,1999
NYM,30.1,5.23,1999
NYY,30.9,5.56,1999
OAK,28.9,5.51,1999
PHI,28.2,5.19,1999
PIT,28.3,4.81,1999
SDP,29.7,4.38,1999
SEA,29.1,5.30,1999
SFG,30.2,5.38,1999
STL,28.6,5.02,1999
TBD,30.0,4.77,1999
TEX,30.6,5.83,1999
TOR,28.3,5.45,1999
ANA,28.7,4.86,1998
ARI,27.8,4.10,1998
ATL,28.9,5.10,1998
BAL,33.1,5.04,1998
BOS,28.8,5.41,1998
CHC,30.1,5.10,1998
CHW,27.2,5.28,1998
CIN,27.5,4.63,1998
CLE,29.5,5.25,1998
COL,29.5,5.10,1998
DET,27.3,4.46,1998
FLA,25.4,4.12,1998
HOU,29.7,5.40,1998
KCR,28.8,4.43,1998
LAD,28.2,4.13,1998
MIL,28.3,4.36,1998
MIN,29.8,4.53,1998
MON,25.9,3.98,1998
NYM,28.9,4.36,1998
NYY,30.4,5.96,1998
OAK,29.0,4.96,1998
PHI,27.1,4.40,1998
PIT,26.7,3.99,1998
SDP,31.2,4.62,1998
SEA,29.8,5.34,1998
SFG,30.6,5.18,1998
STL,30.5,4.97,1998
TBD,28.9,3.83,1998
TEX,29.9,5.80,1998
TOR,29.0,5.01,1998
ANA,29.6,5.12,1997
ATL,27.9,4.88,1997
BAL,31.6,5.01,1997
BOS,27.9,5.25,1997
CHC,29.4,4.24,1997
CHW,29.3,4.84,1997
CIN,28.2,4.02,1997
CLE,30.2,5.39,1997
COL,30.4,5.70,1997
DET,26.5,4.84,1997
FLA,28.5,4.57,1997
HOU,28.8,4.80,1997
KCR,28.7,4.64,1997
LAD,29.3,4.58,1997
MIL,28.1,4.23,1997
MIN,29.2,4.77,1997
MON,27.7,4.27,1997
NYM,27.3,4.80,1997
NYY,30.5,5.50,1997
OAK,28.1,4.72,1997
PHI,27.8,4.12,1997
PIT,26.6,4.48,1997
SDP,30.8,4.91,1997
SEA,29.3,5.71,1997
SFG,29.5,4.84,1997
STL,30.0,4.25,1997
TEX,28.4,4.98,1997
TOR,29.5,4.04,1997
ATL,27.9,4.77,1996
BAL,31.1,5.82,1996
BOS,28.4,5.73,1996
CAL,29.2,4.73,1996
CHC,29.0,4.77,1996
CHW,30.4,5.54,1996
CIN,29.3,4.80,1996
CLE,29.7,5.91,1996
COL,30.1,5.93,1996
DET,27.0,4.83,1996
FLA,27.9,4.25,1996
HOU,28.2,4.65,1996
KCR,27.2,4.63,1996
LAD,27.9,4.34,1996
MIL,27.8,5.52,1996
MIN,28.4,5.41,1996
MON,27.3,4.57,1996
NYM,27.2,4.60,1996
NYY,30.0,5.38,1996
OAK,28.2,5.31,1996
PHI,28.3,4.01,1996
PIT,28.8,4.79,1996
SDP,30.8,4.76,1996
SEA,28.6,6.17,1996
SFG,28.9,4.64,1996
STL,30.7,4.69,1996
TEX,29.5,5.69,1996
TOR,28.6,4.73,1996
ATL,28.8,4.73,1993
BAL,29.3,4.85,1993
BOS,29.7,4.23,1993
CAL,27.3,4.22,1993
CHC,28.0,4.53,1993
CHW,28.9,4.79,1993
CIN,28.4,4.46,1993
CLE,27.2,4.88,1993
COL,27.7,4.68,1993
DET,30.7,5.55,1993
FLA,27.7,3.59,1993
HOU,27.1,4.42,1993
KCR,30.0,4.17,1993
LAD,28.8,4.17,1993
MIL,28.4,4.52,1993
MIN,29.5,4.28,1993
MON,25.7,4.49,1993
NYM,29.4,4.15,1993
NYY,29.7,5.07,1993
OAK,28.2,4.41,1993
PHI,29.3,5.41,1993
PIT,28.1,4.36,1993
SDP,26.9,4.19,1993
SEA,28.0,4.53,1993
SFG,28.0,4.99,1993
STL,28.0,4.68,1993
TEX,27.8,5.15,1993
TOR,29.2,5.23,1993
